number,title,state,scope,categories,capabilities,assessment,sha,baseRefName,headRefName,mergedAt,url,files,reviewLevel
111,feat: MMS v4 本地 Web 对话与 Pi 会话控制,MERGED,main历史+dev历史,P; D,C03; C08; C12; C13; C14; C15,v4 首个 Web/Pi 控制面；保留模板和使用要求，通用聊天、流式与 RPC 包装可在替代验收后退役。,6c8c934cbd0df09a07c2b1b3f1e5b1fbafa1ca2b,dev,codex/stride-855b1bed42aa43bb-mms-web,2026-09-09T05:39:42Z,https://github.com/CtriXin/multi-model-switch/pull/111,MMS Web.command; README.en.md; README.md; README.zh-CN.md; apps/mms-web/.gitignore; apps/mms-web/DESIGN.md; apps/mms-web/PRODUCT.md; apps/mms-web/README.md; apps/mms-web/index.html; apps/mms-web/package-lock.json; apps/mms-web/package.json; apps/mms-web/src/App.tsx; apps/mms-web/src/ChannelModels.tsx; apps/mms-web/src/Composer.tsx; apps/mms-web/src/ConnectionDialog.tsx; apps/mms-web/src/ConversationOutline.tsx; apps/mms-web/src/FilesPanel.tsx; apps/mms-web/src/LaunchOptions.tsx; apps/mms-web/src/MessageMedia.tsx; apps/mms-web/src/ModelExplorer.tsx; apps/mms-web/src/Models.tsx; apps/mms-web/src/Popover.tsx; apps/mms-web/src/Recipe.tsx; apps/mms-web/src/SessionAttention.ts; apps/mms-web/src/SessionStatus.tsx; apps/mms-web/src/SessionTools.tsx; apps/mms-web/src/SettingsPage.tsx; apps/mms-web/src/SkillPicker.tsx; apps/mms-web/src/TaskSettings.tsx; apps/mms-web/src/ToolEvent.tsx; apps/mms-web/src/Transcript.tsx; apps/mms-web/src/api.ts; apps/mms-web/src/channel-models.css; apps/mms-web/src/components.tsx; apps/mms-web/src/connections.css; apps/mms-web/src/drafts.ts; apps/mms-web/src/local-file-paths.ts; apps/mms-web/src/main.tsx; apps/mms-web/src/preview.ts; apps/mms-web/src/remarkReadable.ts; apps/mms-web/src/states.css; apps/mms-web/src/studio.css; apps/mms-web/src/styles.css; apps/mms-web/src/transcript.css; apps/mms-web/src/types.ts; apps/mms-web/tests/markdown-reading.test.mjs; apps/mms-web/tsconfig.json; apps/mms-web/vite.config.ts; docs/mms-web/API.md; docs/mms-web/EXTENSION-DIRECTION.md; docs/mms-web/FEATURES.md; docs/mms-web/GETTING-STARTED.md; docs/mms-web/HARNESS-DIRECTION.md; docs/mms-web/IMPLEMENTATION-ROADMAP.md; docs/mms-web/NEXT-PHASE.md; docs/mms-web/RELEASE-v4.0.0.md; install.sh; mms-web; mms_config_web.py; mms_core.py; mms_installer.py; mms_version.py; mms_web/__init__.py; mms_web/__main__.py; mms_web/artifacts.py; mms_web/catalog.py; mms_web/catalog_worker.py; mms_web/channel_connection.py; mms_web/connections.py; mms_web/drivers/__init__.py; mms_web/drivers/base.py; mms_web/drivers/launch_bridge.py; mms_web/drivers/pi_rpc.py; mms_web/errors.py; mms_web/extensions/web-controls.ts; mms_web/files.py; mms_web/launch_options.py; mms_web/launch_worker.py; mms_web/manual_bundle.py; mms_web/model_settings.py; mms_web/model_settings_worker.py; mms_web/model_switch.py; mms_web/runtime.py; mms_web/server.py; mms_web/session_actions.py; mms_web/sessions.py; mms_web/skill_catalog.mjs; mms_web/skills.py; mms_web_static/assets/index-Bqw1L3Mv.css; mms_web_static/assets/index-D71zzqkR.js; mms_web_static/build.json; mms_web_static/index.html; package.json; scripts/build_mms_web_release.py; tests/fixtures/mms_web/pi_fake_child.py; tests/test_claude_hardening_regressions.py; tests/test_codex_reasoning_effort_launch.py; tests/test_install_script_paths.py; tests/test_legacy_surface_cleanup.py; tests/test_mms_web_catalog.py; tests/test_mms_web_configuration_flow.py; tests/test_mms_web_connections.py; tests/test_mms_web_integration.py; tests/test_mms_web_interactions.py; tests/test_mms_web_local_files.py; tests/test_mms_web_model_settings.py; tests/test_mms_web_model_switch.py; tests/test_mms_web_release_safety.py; tests/test_mms_web_selection.py; tests/test_mms_web_server.py; tests/test_mms_web_sessions_launch.py; tests/test_mms_web_sessions_pi_driver.py; tests/test_mms_web_sessions_service.py; tests/test_mms_web_status.py; tests/test_mms_web_uploads.py; tests/test_pi_launcher.py,元数据/说明/变更路径逐项评估；关键行为另读 diff/当前源码；不是逐行代码审计
113,fix(web): persist standalone model defaults in v4.0.1,MERGED,main历史+dev历史,P; R,C01; C02,独立模型默认值属于配置合同；接 DSH 时导出明确默认值，不依赖其环境猜测。,e207e4b7c534a2891972c41f5ec4e2c2dc618cef,dev,codex/stride-855b1bed42aa43bb-mms-web,2026-09-09T06:18:03Z,https://github.com/CtriXin/multi-model-switch/pull/113,apps/mms-web/DESIGN.md; apps/mms-web/package-lock.json; apps/mms-web/package.json; apps/mms-web/src/ChannelModels.tsx; docs/mms-web/GETTING-STARTED.md; docs/mms-web/NEXT-PHASE.md; mms_version.py; mms_web/catalog.py; mms_web/catalog_worker.py; mms_web/model_settings.py; mms_web/model_settings_worker.py; mms_web/runtime.py; mms_web/standalone_config.py; mms_web_static/assets/index-63ybAGiV.js; mms_web_static/build.json; mms_web_static/index.html; package.json; scripts/regression_fresh_user_gate.py; tests/test_mms_web_model_switch.py; tests/test_mms_web_standalone_settings.py,元数据/说明/变更路径逐项评估；关键行为另读 diff/当前源码；不是逐行代码审计
114,fix(vision): 统一识图能力真值；feat(web): 模型能力编辑、侧栏操作与外观设置,MERGED,main历史+dev历史,P; D,C02; C12; C15,保留能力真值、来源与人工复核；模型页和主题实现可重做。部分内容先经 #124 整合，不能重复算功能。,a8caf43be1ac5bd65f6fccdc1ec70baeaef62420,dev,issue-112-vision-truth,2026-09-09T10:17:50Z,https://github.com/CtriXin/multi-model-switch/pull/114,apps/mms-web/src/ChannelModels.tsx; apps/mms-web/src/channel-models.css; docs/mms-web/HANDOFF-issue-112.md; docs/mms-web/RELEASE-v4.4.0.md; mms_web/model_settings.py; mms_web/model_settings_worker.py; mms_web/server.py; mms_web_static/assets/index-Cpbqc9kX.js; mms_web_static/assets/index-D16ClMFl.css; mms_web_static/assets/index-DM0YByNC.css; mms_web_static/assets/index-rUb-Hja1.js; mms_web_static/build.json; mms_web_static/index.html; tests/test_mms_web_model_settings.py,元数据/说明/变更路径逐项评估；关键行为另读 diff/当前源码；不是逐行代码审计
115,"feat(web): artifact previews, selections and version comparison (v4.1.0)",MERGED,main历史+dev历史,P; D,C05,预览大部可复用 DSH；有界内容快照、版本差异、选段绑定仍是独立插件候选。,90bfcd2a689619ae31fcae9bdcaaa31ec120490a,dev,codex/stride-855b1bed42aa43bb-artifacts,2026-09-09T07:05:51Z,https://github.com/CtriXin/multi-model-switch/pull/115,apps/mms-web/DESIGN.md; apps/mms-web/package-lock.json; apps/mms-web/package.json; apps/mms-web/src/App.tsx; apps/mms-web/src/ArtifactView.tsx; apps/mms-web/src/Composer.tsx; apps/mms-web/src/artifacts.css; apps/mms-web/src/components.tsx; apps/mms-web/src/drafts.ts; apps/mms-web/src/main.tsx; apps/mms-web/src/preview.ts; apps/mms-web/src/types.ts; docs/mms-web/API.md; docs/mms-web/GETTING-STARTED.md; docs/mms-web/NEXT-PHASE.md; mms_version.py; mms_web/artifact_history.py; mms_web/artifact_preview.py; mms_web/server.py; mms_web/sessions.py; mms_web_static/assets/index-63ybAGiV.js; mms_web_static/assets/index-6lpISGfD.css; mms_web_static/assets/index-DsItwkoU.js; mms_web_static/build.json; mms_web_static/index.html; package.json; scripts/regression_fresh_user_gate.py; tests/test_mms_web_artifact_flow.py; tests/test_mms_web_artifact_history.py,元数据/说明/变更路径逐项评估；关键行为另读 diff/当前源码；不是逐行代码审计
116,feat(web): project materials and per-message source records (4.2.0),MERGED,main历史+dev历史,P,C04,项目资料及来源记录值得保留；通过上下文/持久化插件实现，不能只拷一段 system prompt。,21287630c617b4ec9fd143ccbba992ced68c5b70,dev,codex/stride-855b1bed42aa43bb-context,2026-09-09T07:45:26Z,https://github.com/CtriXin/multi-model-switch/pull/116,apps/mms-web/DESIGN.md; apps/mms-web/package-lock.json; apps/mms-web/package.json; apps/mms-web/src/App.tsx; apps/mms-web/src/ContextUsage.tsx; apps/mms-web/src/ProjectMaterials.tsx; apps/mms-web/src/components.tsx; apps/mms-web/src/main.tsx; apps/mms-web/src/materials.css; apps/mms-web/src/types.ts; docs/mms-web/API.md; docs/mms-web/GETTING-STARTED.md; docs/mms-web/NEXT-PHASE.md; mms_version.py; mms_web/drivers/base.py; mms_web/drivers/pi_rpc.py; mms_web/project_materials.py; mms_web/server.py; mms_web/sessions.py; mms_web/skills.py; mms_web_static/assets/index-CNeOg3yA.css; mms_web_static/assets/index-DCVzTcQD.js; mms_web_static/assets/index-DsItwkoU.js; mms_web_static/build.json; mms_web_static/index.html; package.json; scripts/regression_fresh_user_gate.py; tests/test_mms_web_context_flow.py; tests/test_mms_web_project_materials.py,元数据/说明/变更路径逐项评估；关键行为另读 diff/当前源码；不是逐行代码审计
118,fix(web): show the running version in the logo and settings (4.2.1),MERGED,main历史+dev历史,C; T,C11,运行版本显示属于发行层真值；不需要 fork DSH core，保留源码/安装/bundle 一致性验收。,a7674c28779d6a973d82cfe8115f61e7e293da00,dev,codex/stride-855b1bed42aa43bb-version-label,2026-09-09T08:14:34Z,https://github.com/CtriXin/multi-model-switch/pull/118,apps/mms-web/package-lock.json; apps/mms-web/package.json; apps/mms-web/src/App.tsx; apps/mms-web/src/SettingsPage.tsx; apps/mms-web/src/components.tsx; apps/mms-web/src/studio.css; apps/mms-web/src/types.ts; docs/mms-web/API.md; docs/mms-web/GETTING-STARTED.md; mms_version.py; mms_web/server.py; mms_web_static/assets/index-CRkBFqlf.js; mms_web_static/assets/index-DuknLw5d.css; mms_web_static/build.json; mms_web_static/index.html; package.json,元数据/说明/变更路径逐项评估；关键行为另读 diff/当前源码；不是逐行代码审计
119,feat(web): v4.3.0 新手悬浮引导与功能帮助,MERGED,main历史+dev历史,P; C; D,C15,教程和帮助按目标用户保留；旧 DOM 锚点和页面布局不移植。,23b83a7b3b2129b87c0c308bb781debbf0847590,dev,codex/stride-855b1bed42aa43bb-guide,2026-09-09T09:08:54Z,https://github.com/CtriXin/multi-model-switch/pull/119,apps/mms-web/DESIGN.md; apps/mms-web/package-lock.json; apps/mms-web/package.json; apps/mms-web/src/App.tsx; apps/mms-web/src/Composer.tsx; apps/mms-web/src/GuidedTour.tsx; apps/mms-web/src/HelpGuide.tsx; apps/mms-web/src/Models.tsx; apps/mms-web/src/TaskSettings.tsx; apps/mms-web/src/guide-content.ts; apps/mms-web/src/guide.css; docs/mms-web/GETTING-STARTED.md; mms_version.py; mms_web_static/assets/index--OtT7ZbU.js; mms_web_static/assets/index-CRkBFqlf.js; mms_web_static/assets/index-D-9M5_YH.css; mms_web_static/assets/index-DuknLw5d.css; mms_web_static/build.json; mms_web_static/index.html; package.json,元数据/说明/变更路径逐项评估；关键行为另读 diff/当前源码；不是逐行代码审计
120,简化一键安装：移除 9 个可选包、零选择、pi 必装、装完打开 MMS Web,MERGED,main历史+dev历史,C; R; D,C06; C09; C10,安装简化与 Pi 就绪判定留在 MMS；退役的全局包不恢复，清理保护以 #124/#130 后续实现为准。,19342026e3f683c8f65439e1ade7c94147f7f101,dev,issue-117-installer-zero-prompt,2026-09-09T10:17:50Z,https://github.com/CtriXin/multi-model-switch/pull/120,README.en.md; README.md; README.zh-CN.md; install.sh; scripts/regression_fresh_user_gate.py; tests/test_install_script_paths.py,元数据/说明/变更路径逐项评估；关键行为另读 diff/当前源码；不是逐行代码审计
122,增加 npx 安装入口：npx @ctrixin/mms,CLOSED,不在两线祖先中,C; H,C10,已被其他安装 PR 吸收而关闭；不重新合并。npx 分发入口是自有发行层，不是 DSH core 功能。,,issue-117-installer-zero-prompt,issue-121-npx-installer,,https://github.com/CtriXin/multi-model-switch/pull/122,README.en.md; README.md; README.zh-CN.md; packages/mms-install/README.md; packages/mms-install/bin/mms-install.mjs; packages/mms-install/package.json; scripts/regression_fresh_user_gate.py; tests/test_npx_installer_package.py,元数据/说明/变更路径逐项评估；关键行为另读 diff/当前源码；不是逐行代码审计
124,feat(web): integrate PR 114 and 120 as MMS Pilot v4.4.0,MERGED,main历史+dev历史,P; C; R; T,C02; C05; C09; C10; C12; C15,整合 #114/#120 且另有热切模型、隔离实例和清理保护修复；不是单纯版本 PR，保留这些合同。,d0a0f88584fa7e05654d556e05774a68cbe5dafe,dev,codex/stride-855b1bed42aa43bb-integrate,2026-09-09T10:17:48Z,https://github.com/CtriXin/multi-model-switch/pull/124,MMS Pilot.command; README.en.md; README.md; README.zh-CN.md; apps/mms-web/DESIGN.md; apps/mms-web/README.md; apps/mms-web/index.html; apps/mms-web/package-lock.json; apps/mms-web/package.json; apps/mms-web/public/favicon.svg; apps/mms-web/public/vendor/LICENSE; apps/mms-web/public/vendor/README.txt; apps/mms-web/public/vendor/claude.svg; apps/mms-web/public/vendor/deepseek.svg; apps/mms-web/public/vendor/doubao.svg; apps/mms-web/public/vendor/ernie.svg; apps/mms-web/public/vendor/gemini.svg; apps/mms-web/public/vendor/glm.svg; apps/mms-web/public/vendor/gpt.svg; apps/mms-web/public/vendor/grok.svg; apps/mms-web/public/vendor/hunyuan.svg; apps/mms-web/public/vendor/kimi.svg; apps/mms-web/public/vendor/llama.svg; apps/mms-web/public/vendor/minimax.svg; apps/mms-web/public/vendor/mistral.svg; apps/mms-web/public/vendor/nemotron.svg; apps/mms-web/public/vendor/qwen.svg; apps/mms-web/public/vendor/stepfun.svg; apps/mms-web/src/App.tsx; apps/mms-web/src/ChannelModels.tsx; apps/mms-web/src/GuidedTour.tsx; apps/mms-web/src/ModelExplorer.tsx; apps/mms-web/src/SessionStatus.tsx; apps/mms-web/src/SessionTools.tsx; apps/mms-web/src/SettingsPage.tsx; apps/mms-web/src/SkillPicker.tsx; apps/mms-web/src/Transcript.tsx; apps/mms-web/src/VendorMark.tsx; apps/mms-web/src/api.ts; apps/mms-web/src/artifacts.css; apps/mms-web/src/channel-models.css; apps/mms-web/src/components.tsx; apps/mms-web/src/connections.css; apps/mms-web/src/guide-content.ts; apps/mms-web/src/guide.css; apps/mms-web/src/materials.css; apps/mms-web/src/states.css; apps/mms-web/src/studio.css; apps/mms-web/src/styles.css; apps/mms-web/src/transcript.css; docs/AGENT_GUARDRAILS.md; docs/mms-web/API.md; docs/mms-web/FEATURES.md; docs/mms-web/GETTING-STARTED.md; docs/mms-web/HANDOFF-issue-112.md; docs/mms-web/NEXT-PHASE.md; docs/mms-web/RELEASE-v4.4.0.md; install.sh; mms-web; mms_pi_support.py; mms_version.py; mms_web/__main__.py; mms_web/catalog.py; mms_web/drivers/__init__.py; mms_web/drivers/base.py; mms_web/drivers/pi_rpc.py; mms_web/extensions/web-controls.ts; mms_web/launch_options.py; mms_web/launch_worker.py; mms_web/model_settings.py; mms_web/model_settings_worker.py; mms_web/server.py; mms_web/sessions.py; mms_web_static/assets/index--OtT7ZbU.js; mms_web_static/assets/index-Cpbqc9kX.js; mms_web_static/assets/index-D-9M5_YH.css; mms_web_static/assets/index-DM0YByNC.css; mms_web_static/build.json; mms_web_static/favicon.svg; mms_web_static/index.html; mms_web_static/vendor/LICENSE; mms_web_static/vendor/README.txt; mms_web_static/vendor/claude.svg; mms_web_static/vendor/deepseek.svg; mms_web_static/vendor/doubao.svg; mms_web_static/vendor/ernie.svg; mms_web_static/vendor/gemini.svg; mms_web_static/vendor/glm.svg; mms_web_static/vendor/gpt.svg; mms_web_static/vendor/grok.svg; mms_web_static/vendor/hunyuan.svg; mms_web_static/vendor/kimi.svg; mms_web_static/vendor/llama.svg; mms_web_static/vendor/minimax.svg; mms_web_static/vendor/mistral.svg; mms_web_static/vendor/nemotron.svg; mms_web_static/vendor/qwen.svg; mms_web_static/vendor/stepfun.svg; package.json; scripts/build_mms_web_release.py; scripts/pi-vision-extension.ts; scripts/regression_fresh_user_gate.py; tests/fixtures/mms_web/pi_fake_child.py; tests/test_install_script_paths.py; tests/test_mms_web_catalog.py; tests/test_mms_web_merge_regressions.py; tests/test_mms_web_model_settings.py; tests/test_pi_vision_relay.py,元数据/说明/变更路径逐项评估；关键行为另读 diff/当前源码；不是逐行代码审计
