sha,date,title,isMerge,categories,capabilities,assessment,url,files
16092a43611af338b1fbf9eae403c2d478e08d51,2026-09-17T20:33:55+08:00,release: v5.1.5 Preview,False,H,C24,历史发布/工作包记录；不作为独立运行能力迁移，保留与后续实现的追溯。,https://github.com/CtriXin/multi-model-switch/commit/16092a43611af338b1fbf9eae403c2d478e08d51,apps/mms-web/package-lock.json; apps/mms-web/package.json; docs/mms-web/RELEASE-v5.1.5.md; mms_version.py; mms_web_static/build.json; package.json
af14eae5ee85e454faaa77161fbc4d052483969c,2026-09-17T20:24:58+08:00,release: v5.1.4 Preview,False,H,C24,历史发布/工作包记录；不作为独立运行能力迁移，保留与后续实现的追溯。,https://github.com/CtriXin/multi-model-switch/commit/af14eae5ee85e454faaa77161fbc4d052483969c,apps/mms-web/package-lock.json; apps/mms-web/package.json; docs/mms-web/RELEASE-v5.1.4.md; mms_version.py; mms_web_static/build.json; package.json
97b562cad2ea9b4fae140799a517e658df79a8d7,2026-09-17T20:12:18+08:00,release: v5.1.3 Preview,False,H,C24,历史发布/工作包记录；不作为独立运行能力迁移，保留与后续实现的追溯。,https://github.com/CtriXin/multi-model-switch/commit/97b562cad2ea9b4fae140799a517e658df79a8d7,apps/mms-web/package-lock.json; apps/mms-web/package.json; docs/mms-web/RELEASE-v5.1.3.md; mms_version.py; mms_web_static/build.json; package.json
7dc64bb1c4b588b291573c5cd3d97163b7497028,2026-09-17T19:27:32+08:00,release: prepare Fleet repair for v5.1.2 Preview,False,C; T; H,C19; C23; C24,5.1.2 版本准备同时有 Fleet render 测试和说明修复；不是纯 stamp。,https://github.com/CtriXin/multi-model-switch/commit/7dc64bb1c4b588b291573c5cd3d97163b7497028,apps/mms-web/package-lock.json; apps/mms-web/package.json; apps/mms-web/tests/bot-fleet-render.test.mjs; docs/mms-web/CHANGELOG.md; docs/mms-web/RELEASE-v5.1.1.md; docs/mms-web/RELEASE-v5.1.2.md; mms_version.py; mms_web_static/assets/index-BXadizhB.js; mms_web_static/assets/index-BvMUW7qg.css; mms_web_static/assets/index-BxT2QeD4.js; mms_web_static/assets/index-DN9gVsWb.css; mms_web_static/build.json; mms_web_static/index.html; package.json
789d45ba367e09b2871e0e3b7bb89ac27e9d3b16,2026-09-17T19:23:53+08:00,fix(bot): close Fleet lifecycle and approval gaps,False,P; T,C16; C17; C18; C19,Fleet 生命周期/计划批准/定时意图与只读边界修复，属于 #295 能力；不能只读最终 PR diff。,https://github.com/CtriXin/multi-model-switch/commit/789d45ba367e09b2871e0e3b7bb89ac27e9d3b16,apps/mms-web/src/Bot.tsx; apps/mms-web/src/BotFleetBar.tsx; apps/mms-web/src/BotPlan.tsx; apps/mms-web/src/bot-fleet.ts; mms_web/bot_schedules.py; mms_web/bots.py; mms_web/session_actions.py; mms_web/sessions.py; mms_web/side_questions.py; tests/test_mms_bot_fleet_safety.py; tests/test_mms_web_bots.py; tests/test_mms_web_sessions_launch.py
5707bb073826f8eff8f7d77f7ba60c0e449b17be,2026-09-17T19:11:21+08:00,fix(bot): enforce exact Fleet choices and read-only worker tools,False,P; T,C02; C16; C19,精确模型失败停止、只读工具与 session 限制；作为 Fleet 插件的硬验收合同保留。,https://github.com/CtriXin/multi-model-switch/commit/5707bb073826f8eff8f7d77f7ba60c0e449b17be,apps/mms-web/src/BotFleetBar.tsx; apps/mms-web/src/BotFleetListen.tsx; apps/mms-web/src/bot-fleet.ts; apps/mms-web/tests/bot-fleet-bar.test.mjs; mms_pi_support.py; mms_web/bot_coordinator.py; mms_web/bot_executor.py; mms_web/bots.py; mms_web/drivers/launch_bridge.py; mms_web/launch_worker.py; mms_web/sessions.py; tests/test_mms_bot_coordinator.py; tests/test_mms_bot_fleet_safety.py; tests/test_mms_web_sessions_launch.py
58fdbaabb305becd45a54a824ceefd1068781058,2026-09-17T18:57:53+08:00,merge: bring Fleet candidate onto current dev for repair,True,P; T; H,C16; C19; C21,Fleet 候选先与当前 dev 合流再修复；后续 5707bb07/789d45ba 才构成最终边界。,https://github.com/CtriXin/multi-model-switch/commit/58fdbaabb305becd45a54a824ceefd1068781058,.ai/regression-reports/2026-09-16-t6a-channel-switch-gate.md; .github/workflows/digger.yml; .github/workflows/windows-acceptance.yml; README.en.md; README.md; README.zh-CN.md; apps/mms-web/DESIGN.md; apps/mms-web/package-lock.json; apps/mms-web/package.json; apps/mms-web/src/App.tsx; apps/mms-web/src/Bot.tsx; apps/mms-web/src/BotPresetPanel.tsx; apps/mms-web/src/BotSchedulePanel.tsx; apps/mms-web/src/BotStudio.tsx; apps/mms-web/src/GuidedTour.tsx; apps/mms-web/src/LaunchOptions.tsx; apps/mms-web/src/Popover.tsx; apps/mms-web/src/RemoteAccess.tsx; apps/mms-web/src/ReplyReader.tsx; apps/mms-web/src/SessionAttention.ts; apps/mms-web/src/SessionStatus.tsx; apps/mms-web/src/SessionTools.tsx; apps/mms-web/src/SettingsPage.tsx; apps/mms-web/src/SideQuestions.tsx; apps/mms-web/src/TaskSettings.tsx; apps/mms-web/src/Transcript.tsx; apps/mms-web/src/UpdateCenter.tsx; apps/mms-web/src/api.ts; apps/mms-web/src/bot-model-switch.ts; apps/mms-web/src/bot-schedules.ts; apps/mms-web/src/bot-visual-system.ts; apps/mms-web/src/bot.css; apps/mms-web/src/components.tsx; apps/mms-web/src/connection-state.ts; apps/mms-web/src/folder-tree.ts; apps/mms-web/src/guide-content.ts; apps/mms-web/src/message-control.ts; apps/mms-web/src/preview.ts; apps/mms-web/src/remote-access.css; apps/mms-web/src/side-questions.ts; apps/mms-web/src/states.css; apps/mms-web/src/studio.css; apps/mms-web/src/styles.css; apps/mms-web/src/transcript.css; apps/mms-web/src/tunnel-task.ts; apps/mms-web/src/updates.css; apps/mms-web/tests/bot-model-chip.test.mjs; apps/mms-web/tests/bot-model-switch.test.mjs; apps/mms-web/tests/bot-schedule-edit-events.test.mjs; apps/mms-web/tests/bot-schedule-panel-render.test.mjs; apps/mms-web/tests/bot-schedule-ui-wiring.test.mjs; apps/mms-web/tests/bot-schedules.test.mjs; apps/mms-web/tests/bot-visual-system.test.mjs; apps/mms-web/tests/composer-effort-picker.test.mjs; apps/mms-web/tests/connection-banner.test.mjs; apps/mms-web/tests/fixtures/model-match-cases.json; apps/mms-web/tests/message-control.test.mjs; apps/mms-web/tests/remote-access.test.mjs; apps/mms-web/tests/reply-reader.test.mjs; apps/mms-web/tests/session-attention.test.mjs; apps/mms-web/tests/session-rename-dblclick.test.mjs; apps/mms-web/tests/settings-runtime.test.mjs; apps/mms-web/tests/side-questions.test.mjs; apps/mms-web/tests/sidebar-status-contract.test.mjs; apps/mms-web/tests/transcript.test.mjs; apps/mms-web/tests/turn-working-status.test.mjs; apps/mms-web/tests/workspace-folder-tree.test.mjs; docs/AGENT_GUARDRAILS.md; docs/mms-web/API.md; docs/mms-web/BACKPORT-5X-TO-4X.md; docs/mms-web/BOTS.md; docs/mms-web/CHANGELOG.md; docs/mms-web/CHANNEL-SWITCHING.md; docs/mms-web/FEATURES.md; docs/mms-web/GETTING-STARTED.md; docs/mms-web/RELEASE-v4.22.2.md; docs/mms-web/RELEASE-v4.22.3.md; docs/mms-web/RELEASE-v4.22.4.md; docs/mms-web/RELEASE-v4.23.0.md; docs/mms-web/RELEASE-v5.0.2.md; docs/mms-web/RELEASE-v5.0.3.md; docs/mms-web/RELEASE-v5.0.4.md; docs/mms-web/RELEASE-v5.0.5.md; docs/mms-web/RELEASE-v5.0.6.md; docs/mms-web/RELEASE-v5.1.0.md; docs/mms-web/REMOTE-ACCESS.md; docs/mms-web/bot-work/BOARD.md; docs/mms-web/bot-work/PR303-rework-01.md; docs/mms-web/bot-work/PR304-rework-01.md; docs/mms-web/bot-work/PR307-rework-01.md; docs/mms-web/bot-work/PR311-rework-01.md; docs/mms-web/bot-work/T5b-rework-01.md; docs/mms-web/bot-work/T5b-schedule-ui.md; docs/mms-web/bot-work/T5c-rework-01.md; docs/mms-web/bot-work/T5d-planned-step-model-actually-applies.md; docs/mms-web/bot-work/T8a-folder-picker-without-a-system-dialog.md; docs/mms-web/bot-work/T8b-work-identities-model-channel-effort.md; docs/mms-web/bot-work/T8c-clean-the-pytest-baseline.md; docs/mms-web/bot-work/T8c-phase2-fix-the-baseline.md; docs/mms-web/bot-work/T8c-pytest-baseline-report.md; docs/mms-web/bot-work/T8d-in-app-update-must-record-the-version.md; docs/mms-web/bot-work/T8e-reverse-dns-blocks-the-remote-access-switch.md; docs/mms-web/bot-work/T8f-windows-atomic-write-loses-data.md; docs/mms-web/design/reply-reader/enter-copies.png; docs/mms-web/design/reply-reader/reader-open.png; docs/mms-web/design/sidebar-unread/after-pending.png; docs/mms-web/design/sidebar-unread/after-states.png; docs/mms-web/design/sidebar-unread/folder-count-hover.png; docs/mms-web/design/sidebar-unread/folder-count-rest.png; docs/mms-web/design/sidebar-unread/topbar-align.png; docs/mms-web/design/t5a/01-create-bot.json; docs/mms-web/design/t5a/01-schedule-after-first-trigger.json; docs/mms-web/design/t5a/01b-create-bot-b.json; docs/mms-web/design/t5a/01b-tasks-after-first-trigger.json; docs/mms-web/design/t5a/01c-create-bot-c.json; docs/mms-web/design/t5a/01c-schedule-after-second-trigger.json; docs/mms-web/design/t5a/01d-tasks-after-second-trigger.json; docs/mms-web/design/t5a/02-create-interval.json; docs/mms-web/design/t5a/02-notifications-with-scheduleid.json; docs/mms-web/design/t5a/03-create-daily.json; docs/mms-web/design/t5a/03b-disable.json; docs/mms-web/design/t5a/03c-list-paused.json; docs/mms-web/design/t5a/03d-enable.json; docs/mms-web/design/t5a/03e-all-paused.json; docs/mms-web/design/t5a/03f-pause-no-new-task.txt; docs/mms-web/design/t5a/03g-resume-one.txt; docs/mms-web/design/t5a/03h-resume-fires.txt; docs/mms-web/design/t5a/03i-pause-resume-summary.txt; docs/mms-web/design/t5a/04-create-once-past.json; docs/mms-web/design/t5a/04b-tasks-before-delete.json; docs/mms-web/design/t5a/04c-delete.json; docs/mms-web/design/t5a/04d-schedules-after-delete.json; docs/mms-web/design/t5a/04e-tasks-after-delete.json; docs/mms-web/design/t5a/05-interval-too-short.txt; docs/mms-web/design/t5a/05b-bad-rule.txt; docs/mms-web/design/t5a/05c-bad-timezone.txt; docs/mms-web/design/t5a/06-limit-21st.txt; docs/mms-web/design/t5a/07-missed-backlog.json; docs/mms-web/design/t5a/08-run-schedule-cli-messages.json; docs/mms-web/design/t5a/08-run-schedule-cli-task.json; docs/mms-web/design/t5a/08b-bot-answer-page-text.txt; docs/mms-web/design/t5a/08b-can-you-schedule-messages.json; docs/mms-web/design/t5a/08b-can-you-schedule-task.json; docs/mms-web/design/t5a/08b-read-back-cli-schedule.json; docs/mms-web/design/t5a/09-migrated-schedule.json; docs/mms-web/design/t5a/09b-migrated-task.json; docs/mms-web/design/t5a/09c-migrated-message.json; docs/mms-web/design/t5a/09d-second-load.json; docs/mms-web/design/t5a/09e-disk-after-persist.txt; docs/mms-web/design/t5a/09f-message-count-second-load.json; docs/mms-web/design/t5a/10-p1-paused-once-repro.txt; docs/mms-web/design/t5a/11-confirmed-behaviors.txt; docs/mms-web/design/t5a/12-p1-mutation-test.txt; docs/mms-web/design/t5a/13-p1b-create-failure-mutation.txt; docs/mms-web/design/t5a/14-p1b-create-failure-repro.txt; docs/mms-web/design/t5b/card-second-line-daily-count.png; docs/mms-web/design/t5b/card-second-line-wake-off.png; docs/mms-web/design/t5b/composer-21st-limit-error.png; docs/mms-web/design/t5b/composer-interval-too-short.png; docs/mms-web/design/t5b/composer-kind-daily.png; docs/mms-web/design/t5b/composer-kind-interval.png; docs/mms-web/design/t5b/composer-kind-once.png; docs/mms-web/design/t5b/composer-kind-weekly.png; docs/mms-web/design/t5b/composer-quota-at-20.png; docs/mms-web/design/t5b/list-after-pause.png; docs/mms-web/design/t5b/list-after-resume.png; docs/mms-web/design/t5b/list-at-20-cap.png; docs/mms-web/design/t5b/list-empty-state.png; docs/mms-web/design/t5b/list-four-states-p2.png; docs/mms-web/design/t5b/list-four-states.png; docs/mms-web/design/t5b/list-master-gate-wake-off.png; docs/mms-web/design/t5b/list-row-paused.png; docs/mms-web/design/t5c/01-create-bot.json; docs/mms-web/design/t5c/02-task1-ask-capability.txt; docs/mms-web/design/t5c/03-task2-switch-glm53.txt; docs/mms-web/design/t5c/04-bot-after-switch.json; docs/mms-web/design/t5c/05-ui-chat-after-switch.png; docs/mms-web/design/t5c/06-ui-current-and-next-model.png; docs/mms-web/design/t5c/07-task4-switch-qwen.txt; docs/mms-web/design/t5c/08-bot-after-next-round.json; docs/mms-web/design/t5c/09-task5-next-round-effective.txt; docs/mms-web/design/t5c/10-shortcut-pending.png; docs/mms-web/design/t5c/11-task6-not-found.txt; docs/mms-web/design/t5c/12-task6-ambiguous-deepseek.txt; docs/mms-web/design/t5c/13-override-switch-response.json; docs/mms-web/design/t5c/14-override-done-pending-kept.json; docs/mms-web/design/t5c/15-pending-consumed-next-normal-task.json; docs/mms-web/design/t5c/16-ui-final-current-model.png; docs/mms-web/design/t5c/17-task-selfknows-model-switch.txt; docs/mms-web/design/t5c/18-switch-to-current-noop.txt; docs/mms-web/design/t5c/19-unavailable-pending-fallback.txt; docs/mms-web/design/t5d/SUMMARY.md; docs/mms-web/design/t5d/base/00-instance.json; docs/mms-web/design/t5d/base/01-scenario-a-step.json; docs/mms-web/design/t5d/base/02-scenario-a-next-ordinary-round.json; docs/mms-web/design/t5d/base/03-scenario-b-step.json; docs/mms-web/design/t5d/base/04-scenario-b-main-conversation-continues.json; docs/mms-web/design/t5d/base/05-session-residue.json; docs/mms-web/design/t5d/head/00-instance.json; docs/mms-web/design/t5d/head/01-scenario-a-step.json; docs/mms-web/design/t5d/head/02-scenario-a-next-ordinary-round.json; docs/mms-web/design/t5d/head/03-scenario-b-step.json; docs/mms-web/design/t5d/head/04-scenario-b-main-conversation-continues.json; docs/mms-web/design/t5d/head/05-session-residue.json; docs/mms-web/design/t5d/run-verify.py; docs/mms-web/design/t6b/01-tabs-row.png; docs/mms-web/design/t6b/02-runtime-tab-overview.png; docs/mms-web/design/t6b/03-browser-chips-normal.png; docs/mms-web/design/t6b/04-browser-chips-empty.png; docs/mms-web/design/t6b/05-status-pills.png; docs/mms-web/design/t6b/06-dirs-display.png; docs/mms-web/design/t6b/07-no-duplicate-capability.png; docs/mms-web/design/t7a/01-normal-online.png; docs/mms-web/design/t7a/02-disconnected-first-cycle-no-red-banner.png; docs/mms-web/design/t7a/03-disconnected-third-cycle-quiet-notice.png; docs/mms-web/design/t7a/04-recovered-automatically-cleared.png; docs/mms-web/design/t7a/05-send-failure-prominent-red-banner.png; docs/mms-web/design/t7a/06-red-banner-dismissed-on-close.png; docs/mms-web/design/t7b/01-unseen-card-auto-expanded.png; docs/mms-web/design/t7b/02-user-folded.png; docs/mms-web/design/t7b/03-folded-persists-after-session-switch.png; docs/mms-web/design/t7b/04-folded-persists-after-page-reload.png; docs/mms-web/design/t7b/05-folded-persists-after-navigate-home.png; docs/mms-web/design/t7b/06-folded-persists-after-navigate-settings.png; docs/mms-web/design/t7b/07-user-re-expanded-persists.png; docs/mms-web/design/t7b/08-two-cards-independent-state.png; docs/mms-web/design/t7b/09-in-flight-question-expanded.png; docs/mms-web/design/t7d/01-before-switch.png; docs/mms-web/design/t7d/02-after-enable.png; docs/mms-web/design/t7d/03-current-window-still-works.png; docs/mms-web/design/t7d/04-cookieless-tab-401.png; docs/mms-web/design/t7d/05-after-regenerate-current-window-works.png; docs/mms-web/design/t7d/05b-old-token-rejected.png; docs/mms-web/design/t7d/06-after-disable.png; docs/mms-web/design/t7e/01-reproduced-restart-blank-turn.png; docs/mms-web/design/t7e/02-reproduced-restart-after-resume-completed.png; docs/mms-web/design/t7e/03-reproduced-steer-in-flight.png; docs/mms-web/design/t7e/04-fixed-turn-interrupted-notice.png; docs/mms-web/design/t7e/05-fixed-resend-populated-in-composer.png; docs/mms-web/design/t7e/06-fixed-resend-running.png; docs/mms-web/design/t7e/07-fixed-resend-execution-completed.png; docs/mms-web/design/t7e/08-fixed-steer-session-view.png; docs/mms-web/design/t7e/09-fixed-resend-fully-finished.png; docs/mms-web/design/t7e/10-non-regression-process-expanded.png; docs/mms-web/design/t7e/11-non-regression-global-toggle.png; docs/mms-web/design/t7e/12-base-historical-turn-falsely-interrupted.png; docs/mms-web/design/t7e/12-historical-turn-no-false-interrupted.png; docs/mms-web/design/t7e/13-pure-steer-non-btw-session.png; docs/mms-web/design/t7e/14-btw-session-isolated.png; docs/mms-web/design/t7e/btw_vs_non_btw_evidence.json; docs/mms-web/design/t7f/01-queued-steer-card.png; docs/mms-web/design/t7f/02-delete-steer-cancelled.png; docs/mms-web/design/t7f/02b-cancelled-steer-model-replied-DONE.png; docs/mms-web/design/t7f/03-late-steer-delivered-not-cancelled.png; docs/mms-web/design/t7f/03b-late-delete-says-too-late.png; docs/mms-web/design/t7f/04-base-followup-cancelled.png; docs/mms-web/design/t7f/04-base-followup-queued-before-delete.png; docs/mms-web/design/t7f/04-head-followup-cancelled.png; docs/mms-web/design/t7f/04-head-followup-queued-before-delete.png; mms_config_web.py; mms_core.py; mms_grok_compat.py; mms_grok_support.py; mms_installer.py; mms_launchers.py; mms_pi_committee.py; mms_registry_cli.py; mms_runtime.py; mms_session_assets.py; mms_version.py; mms_web/bot_client.py; mms_web/bot_executor.py; mms_web/bot_notify.py; mms_web/bot_schedules.py; mms_web/bots.py; mms_web/config_block_reasons.py; mms_web/model_settings_worker.py; mms_web/runtime.py; mms_web/server.py; mms_web/service.py; mms_web/sessions.py; mms_web/update_coordinator.py; mms_web/update_install.py; mms_web/updates.py; mms_web/workspace_browse.py; mms_web_static/assets/index-1kBxIfqk.js; mms_web_static/assets/index-BvMUW7qg.css; mms_web_static/assets/index-BxRSv36D.css; mms_web_static/assets/index-By5KdIjV.js; mms_web_static/build.json; mms_web_static/index.html; package.json; scripts/ci_pytest_regression.py; scripts/probe_task_prompt.py; scripts/regression_fresh_user_gate.py; tests/approved_bundle.py; tests/conftest.py; tests/fixtures/opencode_first_run.py; tests/frontend/tunnel-task.test.ts; tests/test_agy_launcher.py; tests/test_capability_request_shaping.py; tests/test_committee_timing.py; tests/test_config_web.py; tests/test_grok_launcher.py; tests/test_legacy_surface_cleanup.py; tests/test_mimo_1m_context.py; tests/test_mmc_isolation.py; tests/test_mms_4_22_no_workbench.py; tests/test_mms_bot_client.py; tests/test_mms_bot_model_switch.py; tests/test_mms_bot_notify.py; tests/test_mms_bot_runtime.py; tests/test_mms_bot_schedules.py; tests/test_mms_bot_transport.py; tests/test_mms_channel_switch_contract.py; tests/test_mms_release_version.py; tests/test_mms_session_owner_forward_compat.py; tests/test_mms_state_io.py; tests/test_mms_web_atomic_write.py; tests/test_mms_web_blocked_reasons.py; tests/test_mms_web_bots.py; tests/test_mms_web_listener_dns.py; tests/test_mms_web_message_control.py; tests/test_mms_web_remote_access_cookie.py; tests/test_mms_web_service.py; tests/test_mms_web_t2_message_control.py; tests/test_mms_web_task_prompt.py; tests/test_mms_web_update_coordinator.py; tests/test_mms_web_updates.py; tests/test_mms_web_windows_workspace_picker.py; tests/test_mms_web_workspace_browse.py; tests/test_model_name_exports.py; tests/test_model_routes_export.py; tests/test_opencode_first_run.py; tests/test_opencode_launcher.py; tests/test_pi_committee.py; tests/test_pi_launcher.py; tests/test_registry_cli.py; tests/test_registry_runtime_resolver.py; tests/test_session_assets.py; tests/test_update_install.py; walls.md
ce7054b35941642056f8de6fb8ff0f403b82da05,2026-09-17T18:03:03+08:00,merge(main): carry atomic persistence and replay fixes into Preview,True,P; C; T; H,C11; C16; C18; C22,main 原子持久化/回放修复向 Preview 合流，保留 Bot 合同；按来源能力去重。,https://github.com/CtriXin/multi-model-switch/commit/ce7054b35941642056f8de6fb8ff0f403b82da05,.github/workflows/windows-acceptance.yml; README.en.md; README.md; README.zh-CN.md; docs/mms-web/RELEASE-v4.22.3.md; docs/mms-web/RELEASE-v4.23.0.md; docs/mms-web/RELEASE-v5.1.0.md; docs/mms-web/bot-work/T8f-windows-atomic-write-loses-data.md; mms_web/runtime.py; mms_web/sessions.py; mms_web/updates.py; scripts/regression_fresh_user_gate.py; tests/test_mms_web_atomic_write.py; tests/test_mms_web_t2_message_control.py
faeb367677cda97f9da02cbf54911b77d04e721c,2026-09-17T17:46:13+08:00,fix(bot): keep mobile model chip readable beside header controls,False,P; D,C12; C16,Bot 模型 chip 手机布局；按目标 DSH 页面实测决定是否需 UI 插件。,https://github.com/CtriXin/multi-model-switch/commit/faeb367677cda97f9da02cbf54911b77d04e721c,apps/mms-web/src/bot.css; docs/mms-web/RELEASE-v5.1.0.md; mms_web_static/assets/index-BSte-j-L.css; mms_web_static/assets/index-Bx_FMl8H.css; mms_web_static/assets/index-wQwJqVUA.js; mms_web_static/build.json; mms_web_static/index.html
6017983bc61a03308761b5a50589a0a31ea417ff,2026-09-17T17:41:03+08:00,merge(main): preserve randomized test isolation on Preview,True,T; H,C23,随机顺序测试隔离同步至 Preview；无独立新功能。,https://github.com/CtriXin/multi-model-switch/commit/6017983bc61a03308761b5a50589a0a31ea417ff,tests/test_agy_launcher.py; tests/test_model_routes_export.py
