pr	categories	capabilities	assessment
111	P,D	C03,C08,C12,C13,C14,C15	v4 首个 Web/Pi 控制面；保留模板和使用要求，通用聊天、流式与 RPC 包装可在替代验收后退役。
113	P,R	C01,C02	独立模型默认值属于配置合同；接 DSH 时导出明确默认值，不依赖其环境猜测。
114	P,D	C02,C12,C15	保留能力真值、来源与人工复核；模型页和主题实现可重做。部分内容先经 #124 整合，不能重复算功能。
115	P,D	C05	预览大部可复用 DSH；有界内容快照、版本差异、选段绑定仍是独立插件候选。
116	P	C04	项目资料及来源记录值得保留；通过上下文/持久化插件实现，不能只拷一段 system prompt。
118	C,T	C11	运行版本显示属于发行层真值；不需要 fork DSH core，保留源码/安装/bundle 一致性验收。
119	P,C,D	C15	教程和帮助按目标用户保留；旧 DOM 锚点和页面布局不移植。
120	C,R,D	C06,C09,C10	安装简化与 Pi 就绪判定留在 MMS；退役的全局包不恢复，清理保护以 #124/#130 后续实现为准。
122	C,H	C10	已被其他安装 PR 吸收而关闭；不重新合并。npx 分发入口是自有发行层，不是 DSH core 功能。
124	P,C,R,T	C02,C05,C09,C10,C12,C15	整合 #114/#120 且另有热切模型、隔离实例和清理保护修复；不是单纯版本 PR，保留这些合同。
125	H,D	C11	旧更新原型已由 #137 之后的事务更新替代；无需移植原型，但不能删除安全更新需求。
127	P,R	C01,C02	官方能力资料、来源索引、人工复核和 OpenRouter discovery 可做 registry 适配插件；历史具体数值需按新真值更新。
128	P,D	C02,C05,C14	附件落盘/正文路径、项目搜索、能力复核有价值；通用附件 UI 可用 DSH，项目定位与证据另补。
130	R,D	C06,C09	停止全局强装 skills 并限制清理目标是既有边界；不把退休全局注入机制搬到 DSH。
131	P,C,D	C01,C15	面向同事的连接优先引导保留，DSH 通用 provider 设置可复用；向导页面只迁移缺口。
132	P,R	C06,C14	任务 skills、显式草稿和目录引用可做 bundle/preset；原 skill 内容优先复用，避免再造工具链。
133	P,D	C12,C13	状态和文件入口文案是 UX 验收项；先比较 DSH 原生表现，再决定少量 UI 插件。
134	D,T	C04,C13	空上下文回执不展示的规则保留；旧 React 分支无需单独移植。
135	P,D	C01,C12	模型快捷入口和可选通道控制；DSH 已有模型座位，差异只做通道友好名/策略插件。
136	H	C24	main 发布整合记录；能力归原功能 PR，不计第二份迁移工作。
137	C,T,D	C10,C11	安全更新及 npx 安装整合；保留预检/回滚/真实版本规则，旧 Python 更新事务不是 DSH 插件必搬对象。
138	P,D	C02,C12	能力批量勾选保留为 registry 管理 UX；不意味着要复制整个模型设置页。
139	H	C24	4.8.1 发布整合；按 #138 能力归类。
140	H	C24	4.9 发布整合；按 #137 能力归类。
142	C,D	C11,C15	Markdown 发布说明和侧栏布局可由定制 UI/发行元数据覆盖；旧样式不搬。
143	P	C03,C04,C06,C15	Recipe v2、实际消费证据、连接引导；重点迁移能力要求复核、脱敏预览和来源证据，不是单纯 preset 目录。
144	H	C24	4.10 发布整合；功能计入 #143。
147	C,T	C10,C11	安装提示必须对应实际解析版本；留作发行验收，不 fork core。
149	P,R	C07,C08	实际 merge 同时涉及只读 CLI 会话与远程访问；Pi 历史需要专用桥接，DSH 持久化不自动兼容 Pi JSONL。
152	R,T	C09	Claude 路径 deny 规则留在 MMS launcher；与替换 Pilot 执行引擎无关。
153	R,C,T	C01,C09,C10	单配置根和首次 bootstrap 属于 MMS 配置控制面；保留保护与迁移边界。
154	H	C24	4.10.1 发布包装；不独立迁移。
